1,273,180,0,
, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5, Y5, X6, Y6, X7, Y7, X8, Y8, X9, Y9, X10, Y10, X11, Y11, X12, Y12, X13, Y13, X14, Y14, X15, Y15, X16, Y16, X17, Y17, X18, Y18, X19, Y19, X20, Y20, X21, Y21, X22, Y22, X23, Y23, X24, Y24, X25, Y25, X26, Y26, X27, Y27, X28, Y28, X29, Y29, X30, Y30, X31, Y31, X32, Y32, X33, Y33, X34, Y34, X35, Y35, X36, Y36, X37, Y37, X38, Y38, X39, Y39, X40, Y40, X41, Y41, X42, Y42, X43, Y43, X44, Y44, X45, Y45, X46, Y46, X47, Y47, X48, Y48, X49, Y49, X50, Y50, X51, Y51, X52, Y52, X53, Y53, X54, Y54, X55, Y55, X56, Y56, X57, Y57, X58, Y58, X59, Y59, X60, Y60, X61, Y61, X62, Y62, X63, Y63, X64, Y64, X65, Y65, X66, Y66, X67, Y67, X68, Y68, X69, Y69, X70, Y70, X71, Y71, X72, Y72, X73, Y73, X74, Y74, X75, Y75, X76, Y76, X77, Y77, X78, Y78, X79, Y79, X80, Y80, X81, Y81, X82, Y82, X83, Y83, X84, Y84, X85, Y85, X86, Y86, X87, Y87, X88, Y88, X89, Y89, X90, Y90
0.20180109.T12.ALN.F1.6f#40(47) ,24.42680,24.27750 ,39.99820,27.06350 ,62.94910,24.02880 ,26.38360,24.95740 ,24.42680,24.32730 ,25.04030,25.30570 ,26.01870,25.95240 ,27.09660,26.43330 ,28.24080,26.68200 ,29.38510,26.96400 ,30.56250,27.11320 ,31.73990,27.24590 ,32.91730,27.32880 ,34.09460,27.32880 ,35.27200,27.31220 ,36.44940,27.24590 ,37.62680,27.17950 ,38.80420,27.11320 ,39.98160,27.09660 ,40.08110,27.09660 ,41.07610,27.11320 ,42.05450,27.14640 ,43.04950,27.17950 ,44.04440,27.24590 ,45.02280,27.24590 ,46.01780,27.21270 ,47.01280,27.17950 ,47.99120,27.14640 ,48.98620,27.11320 ,49.98120,27.06350 ,50.95960,27.01370 ,51.95450,26.94740 ,52.93290,26.86450 ,53.92790,26.78150 ,54.88970,26.56600 ,55.88470,26.49960 ,56.86310,26.40010 ,57.85810,26.30060 ,58.81990,26.08510 ,59.79830,25.91920 ,60.76010,25.68710 ,61.68880,25.37200 ,62.60080,24.97400 ,62.96570,24.06190 ,63.06510,23.97900 ,62.33550,23.03380 ,61.17470,22.61920 ,59.98070,22.37050 ,58.75360,22.43680 ,57.54300,22.50310 ,56.31590,22.51970 ,55.08870,22.53630 ,53.86160,22.51970 ,52.63440,22.51970 ,51.42390,22.58600 ,50.31280,22.90110 ,49.08570,22.81820 ,47.85850,22.73530 ,46.63140,22.65240 ,45.42080,22.56950 ,44.19370,22.50310 ,42.96660,22.51970 ,41.73940,22.58600 ,40.51230,22.63580 ,39.28510,22.70210 ,38.05800,22.75190 ,36.83080,22.81820 ,35.60370,22.90110 ,34.39310,22.91770 ,33.16600,22.83480 ,31.93890,22.76850 ,30.71170,22.76850 ,29.50120,22.61920 ,28.29060,22.38710 ,27.08000,22.47000 ,25.86950,22.58600 ,24.89110,23.14990 ,24.49310,24.27750 ,62.99880,24.01220 ,58.85310,24.11170 ,54.72390,24.27750 ,50.59470,24.44330 ,46.44900,24.47650 ,42.36960,25.04030 ,38.24040,25.32220 ,34.11120,25.57100 ,26.41670,25.78660 ,27.59410,24.94080 ,26.43330,23.92930 ,25.75340,24.95740 
0.20180109.T12.ALN.F1.6f#41(48) ,18.38420,25.38210 ,34.24380,27.61870 ,59.32090,24.82300 ,20.92580,25.87350 ,18.43510,25.46680 ,19.21450,26.29710 ,20.23110,26.90710 ,21.33250,27.31370 ,22.46770,27.58480 ,23.63690,27.75430 ,24.80600,27.87290 ,25.97520,27.92370 ,27.16120,27.90680 ,28.33040,27.88980 ,29.51640,27.87290 ,30.68560,27.85590 ,31.85470,27.80510 ,33.04080,27.72040 ,34.20990,27.65260 ,34.36240,27.65260 ,35.44680,27.68650 ,36.53130,27.68650 ,37.61570,27.66960 ,38.70010,27.65260 ,39.78450,27.61870 ,40.86890,27.61870 ,41.95330,27.63570 ,43.02080,27.68650 ,44.10520,27.77120 ,45.18960,27.82200 ,46.27410,27.87290 ,47.35850,27.88980 ,48.44290,27.95760 ,49.51040,28.07620 ,50.59480,28.16090 ,51.67920,28.12700 ,52.74670,28.07620 ,53.81410,27.90680 ,54.81380,27.58480 ,55.86440,27.33070 ,56.84710,26.87320 ,57.77900,26.33100 ,58.62620,25.65320 ,59.32090,24.82300 ,59.33790,24.75520 ,58.42290,23.82330 ,57.33850,23.12860 ,56.05080,22.89130 ,54.76300,22.92520 ,53.45830,22.84050 ,52.23840,22.43390 ,50.95060,22.55250 ,49.76450,23.07770 ,48.47680,23.02690 ,47.17210,22.99300 ,45.86740,22.94220 ,44.57970,22.87440 ,43.27500,22.80660 ,41.98720,22.82360 ,40.68250,22.89130 ,39.39480,22.97610 ,38.15790,23.36580 ,36.87010,23.26410 ,35.56550,23.14550 ,34.27770,23.14550 ,32.97300,23.16240 ,31.66830,23.23020 ,30.38060,23.26410 ,29.07590,23.29800 ,27.78820,23.33190 ,26.48350,23.28110 ,25.17880,23.23020 ,23.89100,23.14550 ,22.58640,23.12860 ,21.29860,23.14550 ,20.06170,23.53520 ,18.90950,24.14520 ,18.41810,25.34820 ,59.25320,24.82300 ,55.35600,24.82300 ,51.47590,24.85680 ,47.61260,25.11100 ,43.71550,25.14490 ,39.83530,25.33130 ,35.97210,25.65320 ,32.09190,25.92430 ,20.85810,26.75460 ,22.29830,25.92430 ,21.01060,24.75520 ,20.18030,25.87350 
1.20180122.T1.BLD.F3.0f#24(49) ,15.67320,19.19890 ,33.03520,22.62100 ,58.69310,20.54700 ,18.05830,19.96930 ,15.68800,19.18410 ,16.42870,20.22110 ,17.43610,21.06550 ,18.63600,21.52470 ,19.91000,21.89510 ,21.15440,22.33950 ,22.47280,22.51730 ,23.79130,22.60620 ,25.10970,22.60620 ,26.42820,22.60620 ,27.76140,22.60620 ,29.07990,22.60620 ,30.39830,22.60620 ,31.73160,22.60620 ,33.05000,22.65060 ,33.06480,22.60620 ,34.13150,22.82840 ,35.22770,22.93210 ,36.30910,23.03580 ,37.40540,23.09500 ,38.50160,23.15430 ,39.59780,23.21350 ,40.67920,23.25800 ,41.77550,23.33210 ,42.87170,23.40610 ,43.96800,23.40610 ,45.04940,23.45060 ,46.14560,23.43570 ,47.24180,23.37650 ,48.32330,23.27280 ,49.41950,23.16910 ,50.50090,23.06540 ,51.59720,22.90240 ,52.67860,22.76910 ,53.74520,22.56170 ,54.79700,22.26540 ,55.81920,21.90990 ,56.79690,21.45070 ,57.67090,20.87290 ,58.70790,20.56180 ,58.70790,20.44330 ,57.77460,19.55450 ,56.60430,18.87300 ,55.38950,18.31010 ,54.07110,18.01380 ,52.73780,17.74720 ,51.38980,17.61380 ,50.04170,17.51010 ,48.67880,17.53980 ,47.31590,17.53980 ,45.95300,17.52500 ,44.60500,17.52500 ,43.24210,17.53980 ,41.87920,17.58420 ,40.53110,17.67310 ,39.22750,18.04350 ,37.90900,18.36940 ,36.56100,18.36940 ,35.19810,18.32490 ,33.83520,18.31010 ,32.48710,18.33970 ,31.12420,18.39900 ,29.77610,18.41380 ,28.41330,18.31010 ,27.06520,18.17680 ,25.71710,17.95460 ,24.36900,17.79160 ,23.02100,17.62870 ,21.67290,17.48050 ,20.32480,17.31760 ,18.97670,17.13980 ,17.68790,17.52500 ,16.41390,17.96940 ,15.64360,18.97670 ,58.64860,20.48780 ,54.17480,20.31000 ,49.71580,20.19150 ,45.24200,20.16190 ,40.76810,20.04330 ,36.32390,20.44330 ,31.87970,20.71000 ,27.40590,20.87290 ,18.04350,20.79890 ,19.27300,20.01370 ,18.07310,18.96190 ,17.25830,19.98410 
1.20180122.T1.BLD.F3.0f#25(50) ,14.74910,19.89310 ,33.26140,23.95970 ,62.71410,22.88240 ,16.75210,20.90980 ,14.73400,19.92350 ,15.41680,21.09190 ,16.57000,21.91130 ,17.82950,22.53340 ,19.16480,23.00380 ,20.54560,23.36800 ,21.94160,23.58040 ,23.33760,23.73210 ,24.76400,23.77770 ,26.17520,23.82320 ,27.58630,23.86870 ,29.01270,23.89910 ,30.42390,23.91420 ,31.85020,23.94460 ,33.26140,23.99010 ,33.33730,24.02040 ,34.56640,24.17220 ,35.79550,24.30870 ,37.03970,24.44530 ,38.26880,24.58190 ,39.51310,24.65780 ,40.74220,24.73360 ,41.98650,24.79430 ,43.23070,24.87020 ,44.45980,24.93090 ,45.70410,24.99160 ,46.94840,25.05230 ,48.19260,25.09780 ,49.42170,25.14330 ,50.66600,25.18880 ,51.91030,25.18880 ,53.15450,25.17370 ,54.38360,25.12810 ,55.62790,25.00680 ,56.85700,24.82470 ,58.07090,24.58190 ,59.26960,24.24810 ,60.42290,23.82320 ,61.59130,23.38310 ,62.71410,22.86720 ,62.72930,22.73070 ,61.56090,21.77470 ,60.30150,20.92490 ,58.93580,20.25730 ,57.52460,19.74140 ,56.05280,19.36200 ,54.56570,19.08890 ,53.06350,18.92200 ,51.54610,18.83090 ,50.04390,18.77020 ,48.54160,18.75510 ,47.03940,18.58820 ,45.52200,18.45160 ,44.01980,18.34540 ,42.50240,18.29980 ,40.98500,18.25430 ,39.46760,18.20880 ,37.95020,18.16330 ,36.44790,18.01150 ,34.94570,17.81430 ,33.44350,17.90530 ,32.03230,18.40610 ,30.53010,18.29980 ,29.01270,18.20880 ,27.51050,18.08740 ,25.99310,17.95080 ,24.49080,17.93570 ,22.98860,18.14810 ,21.51670,18.40610 ,20.04490,18.08740 ,18.55780,17.92050 ,17.05560,18.17850 ,15.64440,18.69440 ,14.79470,19.86280 ,62.62310,22.82170 ,57.17560,22.35130 ,51.72820,21.91130 ,46.28070,21.54710 ,40.81810,21.28910 ,35.38580,21.78990 ,29.92310,21.88090 ,24.46050,21.98710 ,16.75210,21.54710 ,17.49560,20.92490 ,16.78240,20.16620 ,16.06930,20.89460 
1.20180122.T1.BLD.F3.0f#27(51) ,19.14250,20.65860 ,38.62190,24.80870 ,59.96960,22.71070 ,21.22520,21.76120 ,19.14250,20.65860 ,19.90820,21.92960 ,21.11800,22.77190 ,22.43500,23.47640 ,23.82860,23.96640 ,25.26810,24.31860 ,26.73820,24.47180 ,28.22370,24.48710 ,29.70920,24.50240 ,31.19460,24.56370 ,32.68010,24.64020 ,34.16550,24.68620 ,35.63570,24.71680 ,37.12110,24.74740 ,38.60660,24.79340 ,38.69850,24.79340 ,39.60200,24.88530 ,40.50550,24.97710 ,41.39370,25.05370 ,42.29730,25.13030 ,43.20080,25.08430 ,44.10430,25.03840 ,45.00780,25.02310 ,45.91140,25.11500 ,46.81490,25.20680 ,47.71840,25.22220 ,48.62200,25.14560 ,49.52550,25.08430 ,50.42900,25.03840 ,51.31720,24.88530 ,52.22070,24.82400 ,53.09360,24.60960 ,53.96650,24.39520 ,54.87010,24.31860 ,55.75830,24.18080 ,56.66180,24.05830 ,57.55000,23.85920 ,58.39230,23.55290 ,59.21920,23.17010 ,59.98490,22.69530 ,60.00030,22.63410 ,59.29580,21.56210 ,58.10130,21.07210 ,56.98340,20.45950 ,55.80420,19.93880 ,54.53320,19.83160 ,53.24680,19.86230 ,51.96040,19.87760 ,50.67400,20.06130 ,49.41830,20.27570 ,48.13190,20.18390 ,46.86080,20.01540 ,45.57450,19.86230 ,44.28810,19.81630 ,43.00170,19.83160 ,41.71530,19.87760 ,40.42900,19.78570 ,39.14260,19.72440 ,37.85620,19.75510 ,36.56980,19.77040 ,35.29880,19.92350 ,34.01240,19.92350 ,32.72600,19.92350 ,31.43960,19.92350 ,30.15330,19.83160 ,28.86690,19.83160 ,27.58050,19.73970 ,26.29410,19.73970 ,25.00780,19.66320 ,23.72140,19.52540 ,22.51160,19.11190 ,21.22520,19.09660 ,20.03070,19.55600 ,19.18840,20.53610 ,59.93900,22.68000 ,55.45200,22.22060 ,50.94970,22.11340 ,46.44740,22.26660 ,41.97570,22.55750 ,37.50400,22.86380 ,33.00170,22.84850 ,28.49940,22.74130 ,20.87300,22.49630 ,22.29720,22.32780 ,21.74590,20.84240 ,20.44420,21.33240 
1.20180122.T1.BLD.F3.0f#28(52) ,17.46500,20.51330 ,34.19380,24.20950 ,59.18380,20.32190 ,19.49720,21.30850 ,17.50920,20.57220 ,18.34860,21.50000 ,19.37940,22.20680 ,20.52800,22.72220 ,21.72090,23.10510 ,22.91370,23.50270 ,24.15060,23.76780 ,25.40240,23.88560 ,26.65410,23.94450 ,27.92050,23.97390 ,29.17220,24.00340 ,30.43860,24.06230 ,31.69040,24.13590 ,32.95680,24.19480 ,34.20850,24.25370 ,34.31160,24.20950 ,35.37190,24.34210 ,36.44690,24.44520 ,37.52180,24.53350 ,38.59680,24.54820 ,39.67180,24.45990 ,40.74680,24.40100 ,41.82180,24.35680 ,42.89680,24.32740 ,43.97180,24.29790 ,45.04680,24.23900 ,46.10710,24.15060 ,47.18210,24.01810 ,48.24240,23.88560 ,49.31740,23.90030 ,50.39240,23.82670 ,51.46740,23.67940 ,52.51290,23.45850 ,53.57320,23.23760 ,54.61870,23.01670 ,55.66430,22.79580 ,56.66560,22.38350 ,57.59340,21.83870 ,58.47690,21.23490 ,59.18380,20.42500 ,59.18380,20.21880 ,58.19720,19.37940 ,57.00430,18.89350 ,55.72320,18.67260 ,54.42730,18.58420 ,53.11670,18.58420 ,51.80610,18.55480 ,50.51020,18.59890 ,49.19960,18.58420 ,47.90370,18.65780 ,46.62250,18.84930 ,45.31190,18.87870 ,44.03070,19.08490 ,42.73490,19.21740 ,41.42420,19.24690 ,40.12840,19.23220 ,38.81770,19.12910 ,37.52180,18.96710 ,36.22600,18.89350 ,34.93010,18.74620 ,33.63420,18.65780 ,32.35300,18.45170 ,31.05710,18.48110 ,29.74650,18.51060 ,28.50950,18.95240 ,27.24310,19.21740 ,25.97670,19.54140 ,24.69550,19.40890 ,23.39960,19.24690 ,22.10370,19.07020 ,20.80780,18.96710 ,19.52670,19.17330 ,18.28970,19.60030 ,17.47980,20.46910 ,59.18380,20.33660 ,54.91330,20.83730 ,50.64270,21.23490 ,46.34270,21.38220 ,42.05750,21.51470 ,37.83110,22.14790 ,33.54580,22.38350 ,29.24580,22.26570 ,19.54140,22.00060 ,20.69000,21.22020 ,19.54140,20.30720 ,18.80510,21.16130 
1.20180122.T2.BLD.F3.3f#29(53) ,13.78710,20.53780 ,31.18260,24.31160 ,56.03540,21.45490 ,16.55350,21.30460 ,13.74200,20.56790 ,14.44860,21.63540 ,15.48610,22.47730 ,16.64370,23.13890 ,17.87660,23.62000 ,19.15460,24.04100 ,20.47770,24.22140 ,21.80080,24.32660 ,23.13890,24.34170 ,24.47700,24.35670 ,25.81510,24.35670 ,27.13820,24.35670 ,28.47630,24.35670 ,29.81440,24.34170 ,31.15250,24.32660 ,31.24270,24.32660 ,32.28010,24.47700 ,33.34760,24.55220 ,34.40010,24.56720 ,35.45250,24.47700 ,36.50500,24.43190 ,37.55740,24.34170 ,38.60990,24.31160 ,39.66230,24.34170 ,40.71480,24.35670 ,41.76720,24.34170 ,42.83470,24.34170 ,43.88720,24.32660 ,44.93960,24.22140 ,45.99210,24.16120 ,47.04450,24.17630 ,48.09700,24.10110 ,49.13440,23.92070 ,50.18680,23.80040 ,51.16410,23.42450 ,52.18650,23.24410 ,53.16380,22.83820 ,54.14100,22.43220 ,55.07320,21.93610 ,56.02040,21.47000 ,56.09560,21.39480 ,55.04310,20.56790 ,53.85540,19.95140 ,52.60750,19.45530 ,51.28440,19.35000 ,49.94630,19.25980 ,48.60820,19.15460 ,47.25500,19.10950 ,45.93190,19.01930 ,44.57880,19.04930 ,43.24070,19.00420 ,41.88750,18.97420 ,40.54940,18.94410 ,39.21130,19.00420 ,37.87320,19.01930 ,36.53510,19.16960 ,35.19690,19.19970 ,33.85880,19.10950 ,32.53570,18.85390 ,31.21270,18.76370 ,29.85950,18.83890 ,28.53640,18.65840 ,27.19830,18.61330 ,25.84520,18.68850 ,24.77770,19.25980 ,23.51470,19.21470 ,22.19170,19.01930 ,21.07910,19.36510 ,19.75600,19.24480 ,18.44790,18.91400 ,17.12490,18.79380 ,15.80180,19.04930 ,14.52380,19.44030 ,13.78710,20.47770 ,56.02040,21.40980 ,51.44980,21.45490 ,46.87910,21.50000 ,42.30850,21.54520 ,37.73790,21.69550 ,33.19730,22.13150 ,28.65670,22.58260 ,24.08610,22.59760 ,16.25280,22.25180 ,17.81650,21.83080 ,16.80910,20.40250 ,15.65140,21.10910 
1.20180122.T2.BLD.F3.3f#30(54) ,18.87180,22.34940 ,37.58900,26.73890 ,63.98780,27.60440 ,21.48380,22.90580 ,18.85630,22.39570 ,19.69090,23.44680 ,20.89650,24.18860 ,22.21030,24.68320 ,23.58590,25.03870 ,24.96140,25.31690 ,26.36790,25.47150 ,27.78990,25.45600 ,29.19640,25.50240 ,30.60290,25.56420 ,32.00940,25.70330 ,33.41590,25.90430 ,34.80690,26.15160 ,36.19800,26.41430 ,37.57350,26.72340 ,37.71260,26.76980 ,38.79460,27.09440 ,39.87650,27.41890 ,40.97390,27.69720 ,42.07120,27.94440 ,43.19950,28.06810 ,44.31240,28.20720 ,45.42520,28.36180 ,46.55350,28.54720 ,47.66630,28.73270 ,48.77910,28.87180 ,49.90740,28.99550 ,51.02030,29.11910 ,52.14850,29.24280 ,53.27680,29.36640 ,54.38970,29.42820 ,55.51800,29.47460 ,56.64620,29.49000 ,57.77450,29.45910 ,58.91830,29.42820 ,60.04660,29.39730 ,61.15940,29.24280 ,62.22590,28.90270 ,63.19960,28.36180 ,64.00330,27.57350 ,64.11150,27.52710 ,63.04500,26.53800 ,61.79310,25.81150 ,60.47930,25.17780 ,59.15010,24.60600 ,57.75910,24.15770 ,56.33710,23.86410 ,54.91520,23.57040 ,53.49320,23.27670 ,52.05580,23.13760 ,50.60290,23.07580 ,49.16550,22.84400 ,47.71270,22.72030 ,46.25980,22.64300 ,44.82240,22.47300 ,43.40040,22.16390 ,41.97850,21.85480 ,40.60290,21.37560 ,39.21190,20.95830 ,37.91360,20.32460 ,36.50710,19.92280 ,35.08510,19.79910 ,33.63230,19.90730 ,32.17940,19.84550 ,30.72650,19.86100 ,29.27370,20.03100 ,27.83630,20.21640 ,26.39880,20.34010 ,24.99240,20.21640 ,23.55490,19.92280 ,22.11750,19.93820 ,20.74200,20.40190 ,19.49000,21.12840 ,18.87180,22.38030 ,63.91060,27.54260 ,59.01100,27.14070 ,54.11150,26.50700 ,49.22740,25.87330 ,44.37420,25.08510 ,39.45920,24.82230 ,34.57510,24.15770 ,29.67550,23.61680 ,21.56110,23.78680 ,22.70490,22.92120 ,21.59200,21.91660 ,20.75740,22.93670 
1.20180122.T2.BLD.F3.3f#32(55) ,9.40922,20.10150 ,28.09490,24.14250 ,54.44960,21.90080 ,11.44440,20.35220 ,9.37973,20.08680 ,10.04340,21.26660 ,11.26750,22.00400 ,12.50630,22.72670 ,13.81890,23.33130 ,15.17570,23.74430 ,16.60620,23.87700 ,18.03680,23.96550 ,19.48210,24.00970 ,20.91270,24.03920 ,22.34320,24.05400 ,23.78850,24.06870 ,25.21910,24.08350 ,26.66440,24.11300 ,28.09490,24.15720 ,28.18340,24.17200 ,29.28950,24.34890 ,30.41040,24.45220 ,31.51650,24.58490 ,32.62260,24.55540 ,33.74340,24.52590 ,34.86430,24.54070 ,35.98510,24.52590 ,37.10600,24.49640 ,38.19730,24.74710 ,39.30340,24.64390 ,40.42430,24.65870 ,41.54510,24.67340 ,42.66600,24.70290 ,43.78680,24.68820 ,44.90770,24.59970 ,46.02850,24.48170 ,47.13460,24.34890 ,48.24070,24.18670 ,49.34680,23.98020 ,50.43820,23.74430 ,51.48530,23.34610 ,52.53240,22.93310 ,53.50570,22.38750 ,54.50860,21.90080 ,54.49390,21.75330 ,53.28450,21.01590 ,52.03090,20.32270 ,50.70360,19.79180 ,49.34680,19.40840 ,47.94570,19.11340 ,46.52990,18.93640 ,45.11410,18.84790 ,43.68360,18.78900 ,42.26780,18.74470 ,40.85200,18.59720 ,39.43620,18.42030 ,38.02030,18.37600 ,36.61930,18.61200 ,35.20350,18.62670 ,33.83190,18.86270 ,32.41610,18.83320 ,31.00030,18.64150 ,29.58450,18.52350 ,28.16870,18.43500 ,26.73810,18.37600 ,25.30760,18.31700 ,23.89180,18.25800 ,22.47600,18.22850 ,21.07490,18.55300 ,19.68860,18.83320 ,18.27280,18.68570 ,16.85700,18.52350 ,15.44120,18.33180 ,14.02530,18.16950 ,12.60950,18.00730 ,11.22320,18.15480 ,9.96965,18.81840 ,9.51246,20.10150 ,54.50860,21.82700 ,49.67130,21.32560 ,44.81920,21.14860 ,39.95230,21.13390 ,35.10020,21.20760 ,30.27760,21.78280 ,25.42560,21.97450 ,20.57350,22.00400 ,11.47390,21.26660 ,12.52110,20.39650 ,11.45920,19.70330 ,10.76600,20.39650 
1.20180122.T2.BLD.F3.3f#33(56) ,17.87000,20.92140 ,34.78550,24.41090 ,62.60760,23.40940 ,20.32680,21.04660 ,17.87000,20.99960 ,18.57420,22.07930 ,19.63820,22.79910 ,20.79620,23.39380 ,21.96980,23.92580 ,23.19030,24.31700 ,24.45780,24.56740 ,25.74100,24.64560 ,27.03970,24.59870 ,28.32290,24.53610 ,29.62170,24.48910 ,30.90480,24.42650 ,32.18790,24.36390 ,33.48670,24.34830 ,34.76990,24.44220 ,34.87940,24.42650 ,36.05300,24.53610 ,37.22660,24.69250 ,38.38450,24.86470 ,39.55810,24.97420 ,40.74740,25.08370 ,41.92100,25.19330 ,43.09460,25.28720 ,44.26820,25.39670 ,45.44180,25.49060 ,46.61540,25.60010 ,47.78900,25.70970 ,48.96260,25.81920 ,50.13620,25.86610 ,51.32540,25.86610 ,52.49900,25.81920 ,53.67260,25.74100 ,54.86190,25.64710 ,56.01980,25.50620 ,57.19340,25.34980 ,58.36700,25.19330 ,59.52500,25.02120 ,60.66730,24.72380 ,61.76270,24.27000 ,62.59200,23.44070 ,62.65460,23.37810 ,61.99740,22.26710 ,60.68290,21.70380 ,59.38420,21.14040 ,58.00710,20.79620 ,56.59880,20.53020 ,55.19050,20.26420 ,53.78220,20.07640 ,52.35820,20.04510 ,50.93420,19.90430 ,49.52590,19.73210 ,48.10200,19.74780 ,46.67800,19.73210 ,45.25400,19.63820 ,43.83000,19.54440 ,42.40610,19.45050 ,40.98210,19.34090 ,39.55810,19.24700 ,38.13420,19.18440 ,36.71020,19.16880 ,35.28620,19.15320 ,33.84660,19.13750 ,32.42270,19.12190 ,30.99870,19.10620 ,29.57470,19.10620 ,28.15080,19.12190 ,26.72680,19.16880 ,25.30280,19.24700 ,23.98840,18.76200 ,22.56440,18.84020 ,21.14040,18.93410 ,19.73210,19.07490 ,18.55850,19.79470 ,17.88570,20.99960 ,62.57640,23.37810 ,57.74110,23.11210 ,52.90590,22.84610 ,48.07070,22.58010 ,43.23540,22.15760 ,38.41580,22.39230 ,33.58060,22.12630 ,28.74540,22.31400 ,20.10770,21.96980 ,21.59420,21.39080 ,20.56150,19.99810 ,19.54440,20.92140 
1.20180122.T3.BLD.F3.6f#36(57) ,17.80480,24.74010 ,35.18970,26.73040 ,60.70720,24.98890 ,20.57270,25.65750 ,17.80480,24.75560 ,18.61340,25.71970 ,19.70190,26.40390 ,20.93030,26.87040 ,22.18990,27.16590 ,23.48050,27.35250 ,24.78670,27.43020 ,26.09290,27.38360 ,27.38360,27.19690 ,28.67420,26.99480 ,29.96490,26.80820 ,31.25550,26.71490 ,32.56170,26.69940 ,33.86790,26.66830 ,35.17410,26.69940 ,35.29850,26.73040 ,36.37140,26.82380 ,37.46000,26.91710 ,38.53290,27.05700 ,39.59030,27.21250 ,40.66330,27.36800 ,41.75180,27.36800 ,42.82470,27.32140 ,43.91320,27.29030 ,44.98620,27.35250 ,46.07470,27.36800 ,47.14760,27.41460 ,48.23610,27.49240 ,49.30910,27.53910 ,50.39750,27.53910 ,51.47050,27.49240 ,52.55900,27.44580 ,53.63190,27.29030 ,54.68940,27.08810 ,55.73120,26.82380 ,56.78860,26.55940 ,57.86160,26.40390 ,58.88790,26.12400 ,59.88310,25.73530 ,60.67610,25.01990 ,60.78500,24.97330 ,59.71200,24.11810 ,58.49910,23.48050 ,57.22400,22.98290 ,55.93340,22.54750 ,54.64270,22.06550 ,53.30540,21.78560 ,51.93700,21.77000 ,50.58420,21.64560 ,49.23130,21.42790 ,47.86290,21.21020 ,46.51010,21.00810 ,45.14170,21.00810 ,43.78880,21.19470 ,42.52930,21.75450 ,41.28530,22.29870 ,40.02570,22.70300 ,38.71950,22.32980 ,37.39780,21.92550 ,36.06040,21.78560 ,34.69210,21.77000 ,33.30810,21.78560 ,31.93970,21.86330 ,30.57130,22.00320 ,29.21850,22.11210 ,27.85010,22.11210 ,26.48160,22.23650 ,25.11330,22.29870 ,23.76040,22.50090 ,22.39200,22.64080 ,21.02360,22.70300 ,19.67070,22.95180 ,18.44230,23.51160 ,17.80480,24.67790 ,60.69170,24.95780 ,56.07330,24.91110 ,51.45490,24.72450 ,46.83660,24.42910 ,42.23380,24.30470 ,37.64660,24.84890 ,33.02820,24.97330 ,28.42540,25.34650 ,20.65040,26.49720 ,22.00320,25.61090 ,20.52600,24.63120 ,19.71740,25.71970 
1.20180122.T3.BLD.F3.6f#37(58) ,17.89130,21.71950 ,35.29220,25.45280 ,65.55390,21.45060 ,20.48560,22.38390 ,17.89130,21.75110 ,18.66640,22.73190 ,19.75790,23.45960 ,20.96020,24.01320 ,22.19410,24.48780 ,23.44380,24.89910 ,24.74090,25.16800 ,26.05390,25.19970 ,27.38270,25.16800 ,28.69570,25.10480 ,30.02450,25.10480 ,31.33740,25.15220 ,32.65040,25.24710 ,33.97920,25.35790 ,35.29220,25.43700 ,35.41870,25.48440 ,36.70010,25.64260 ,37.98140,25.80080 ,39.26280,25.97480 ,40.55990,26.10140 ,41.84130,26.08550 ,43.13840,26.06970 ,44.43560,26.02230 ,45.71690,25.92730 ,47.01410,25.84820 ,48.31120,25.91150 ,49.59260,25.81660 ,50.88970,25.75330 ,52.17110,25.69010 ,53.46820,25.59510 ,54.74960,25.45280 ,56.03090,25.24710 ,57.29640,25.02570 ,58.56190,24.70930 ,59.79580,24.34540 ,61.02970,23.95000 ,62.20030,23.39630 ,63.33930,22.77940 ,64.50990,22.22570 ,65.56980,21.49800 ,65.52230,21.38730 ,64.14600,20.81780 ,62.80140,20.15340 ,61.37770,19.71050 ,59.95400,19.25170 ,58.46700,19.06190 ,56.98000,19.01440 ,55.47720,19.06190 ,53.99020,19.10940 ,52.48740,19.10940 ,50.98460,19.10940 ,49.51350,19.23590 ,48.10560,19.74210 ,46.61860,19.86870 ,45.13160,20.04270 ,43.64460,20.21670 ,42.15760,20.39070 ,40.65480,20.39070 ,39.16780,20.39070 ,37.66500,20.39070 ,36.16220,20.39070 ,34.67520,20.39070 ,33.17240,20.39070 ,31.66960,20.39070 ,30.18270,20.39070 ,28.71150,20.53310 ,27.22450,20.34320 ,25.76920,19.99520 ,24.31380,19.69470 ,22.82680,19.47320 ,21.32400,19.48900 ,19.83700,19.64720 ,18.57150,20.34320 ,17.90710,21.65620 ,65.49070,21.49800 ,60.36530,21.79860 ,55.23990,21.76690 ,50.13040,22.03590 ,45.06830,22.87430 ,39.97460,23.49120 ,34.86510,23.26970 ,29.73970,22.96920 ,20.46980,23.09570 ,21.24490,22.36810 ,20.50140,21.57710 ,19.74210,22.41550 
